tanggal,Trade_No_Buffer,Trade_Buffer_8,Trade_Buffer_10,Trade_Buffer_12,IHSG
2023-11-17,1265770136.0088768,1394095469.8236704,1541242808.4833724,1448844538.5462055,1059427993.5886886
2023-11-20,1271972439.806913,1402098123.8529742,1543441421.561067,1454908407.8567584,1062042560.1950084
2023-11-21,1272842241.6684651,1408027130.285663,1549063738.646429,1455444250.3497434,1057017227.8046894
2023-11-22,1268382556.2313046,1403095796.795258,1541577296.9092593,1448404273.3156514,1048691271.0380424
2023-11-23,1273835498.5820713,1409133855.67239,1551390521.497698,1457624941.492427,1063478284.7221297
2023-11-24,1277171718.6366916,1412828533.3211203,1548698621.6343753,1455102158.0245686,1064280958.9684966
2023-11-27,1274224266.3132515,1409577735.868032,1554828861.0364592,1460853977.6413465,1064854107.0795766
2023-11-28,1285920886.056167,1421215300.9697568,1563887829.257793,1469367419.1505947,1069054895.0006895
2023-11-29,1275810071.3388474,1415131711.200304,1552981632.3612213,1459120385.9171824,1068297814.6087159
2023-11-30,1281469007.0941803,1424107107.3564043,1590640269.0704212,1494502958.6327345,1075077731.9615145
2023-12-01,1287077962.5174913,1426563368.1951032,1568471256.2551255,1473673826.6177993,1071914259.8301092
2023-12-04,1300198051.0122595,1439004481.8448396,1578039545.7364156,1482663814.6392946,1077030112.7020772
2023-12-05,1286470992.7771852,1420946230.3589337,1571558023.2670355,1476574031.3759973,1078131630.5696785
2023-12-06,1286005455.229921,1420097118.242532,1559524474.0559282,1465267782.4131017,1076087987.9839807
2023-12-07,1284060809.0179868,1423058018.0510712,1553419384.1662083,1459531680.368495,1083258678.0302863
2023-12-08,1284324813.2026937,1426690016.0820184,1556520402.5585647,1462445275.1331718,1087050678.1251807
2023-12-11,1264647467.1400068,1404864925.6218472,1541968020.9534235,1448772430.4434285,1076299054.1684647
2023-12-12,1276036086.5923214,1419704286.41778,1541357657.10164,1448116064.65212,1081844230.635215
2023-12-13,1261411966.519125,1403433644.7242124,1525631353.2969458,1429671688.5996492,1074257783.9459221
2023-12-14,1285821579.0087867,1430591522.0330868,1556852912.6418462,1463837612.1286855,1089543438.7107394
2023-12-15,1289984528.0434694,1435223175.205577,1563717142.9380677,1457997411.7414112,1091816607.4317243
2023-12-18,1282575583.4284813,1426980061.5991113,1560678700.0267076,1467272185.3043864,1080966307.9950123
2023-12-19,1291898574.343094,1429960154.0630445,1566396802.4347358,1472319829.9219966,1091339614.1647873
2023-12-20,1289053544.2424417,1429233839.2155385,1562943301.3997235,1468751153.0981216,1096171005.8671508
2023-12-21,1287727333.0357885,1422591040.761534,1561341243.844644,1473829606.1041932,1094645428.085518
2023-12-22,1292376790.271458,1433217949.3739645,1566976401.7593594,1479436713.1973653,1098881504.9085677
2023-12-27,1291090373.6238458,1431928029.4395726,1565419917.9520335,1483421724.6935606,1100156427.6955607
2023-12-28,1306598961.7930605,1447178934.6122916,1584229666.6949167,1502177613.5603342,1108958413.9566126
2023-12-29,1303086743.962412,1448293086.8579257,1579964874.4125054,1494594143.6454136,1104237781.9590678
2024-01-02,1314687735.3198657,1457546697.830118,1594033287.6015096,1516733730.415044,1111949444.941158
2024-01-03,1302970365.0701406,1444359802.7048447,1579829137.7194748,1505198860.8685713,1105193399.492611
2024-01-04,1334239248.2404404,1480592783.3198287,1617753704.7378564,1536213455.3472276,1117441984.6003978
2024-01-05,1323264810.413427,1463350978.4124558,1604460621.4384444,1527286839.8983727,1116053633.2000363
2024-01-08,1314662649.559143,1454994934.9835625,1594032115.8264484,1517051962.4300437,1105874267.7182167
2024-01-09,1319369532.393019,1474290501.9906304,1609944176.0205653,1534458533.9826152,1093215782.7389824
2024-01-10,1329705496.6968315,1487112847.9783967,1629394420.9037678,1551876776.536099,1097329460.4504821
2024-01-11,1326061992.8485355,1481576562.4530234,1624545796.6558845,1548504947.85035,1096216080.7671037
2024-01-12,1339719625.8361387,1493105419.0327377,1643400635.6704826,1570615243.7559583,1099431003.5244422
2024-01-15,1344675946.2037692,1494604296.4021358,1639896815.874733,1574379934.6680036,1096829040.0973856
2024-01-16,1344040185.6897535,1501460592.21622,1649700871.6794233,1573279057.3066893,1099681361.9736876
2024-01-17,1336337420.7855775,1492856092.2992141,1640246838.6862051,1565497653.621627,1093281319.2711508
2024-01-18,1331487812.1240633,1487434759.136292,1634290248.3371334,1563605553.867834,1101226956.5694444
2024-01-19,1336179387.2436287,1492672359.087779,1640044960.2441254,1572915198.3848302,1097345399.7654326
2024-01-22,1321604843.6557374,1476403129.1303527,1622169450.7123356,1558410193.2175856,1100461943.5881698
2024-01-23,1314697067.5963795,1472359959.6196094,1600582100.4211884,1544266029.655813,1101722261.514487
2024-01-24,1307471548.6303208,1468356931.3338034,1596696038.8122563,1536992375.9905367,1097409379.4342804
2024-01-25,1309996696.3213334,1464320728.6512003,1600962862.6074266,1532431994.9355054,1089851030.4211094
2024-01-26,1303396314.4364731,1458231287.8092017,1597345590.1014063,1527584557.41366,1083632918.318054
2024-01-29,1320120571.1237266,1475637386.1712937,1614426257.4415104,1549841178.4433212,1086682739.4270446
2024-01-30,1324726895.5163097,1479002772.0685737,1604905329.6116896,1549675690.8971274,1092003060.3484707
2024-01-31,1322294745.300219,1481814824.855621,1603530515.8403683,1566902882.3740485,1094390621.455356
2024-02-01,1308058810.8882751,1487754779.703278,1609404530.0826561,1563696826.9897418,1093442417.5566735
2024-02-02,1308049114.6959743,1484514331.484977,1603627289.9588256,1572231107.4272656,1099073740.4605055
2024-02-05,1295992308.7296484,1479797028.1442528,1597506814.180071,1569444979.3707685,1092974691.3333127
2024-02-06,1313228215.8153496,1484688201.8415623,1609430076.501533,1581079965.3571267,1100382988.3769033
2024-02-07,1317626666.8537755,1483143615.6145368,1613928712.3318934,1586376236.7445714,1098522091.8905215
2024-02-12,1309093391.7461877,1504976078.8697517,1633557740.4415135,1576159089.8687792,1108014139.2844064
2024-02-13,1326800683.2254217,1497024695.077448,1625821909.1125712,1587980216.6428418,1094663962.1726696
2024-02-15,1350941682.7433784,1524259731.396717,1656528388.917988,1617977689.1821213,1108866188.3389456
2024-02-16,1357123557.5340903,1531231917.1255167,1664153304.067475,1625425218.3536701,1113764895.845844
2024-02-19,1342406904.996128,1514604274.5701816,1650738828.9409645,1612340896.0890987,1107867349.3141646
2024-02-20,1334858543.9971926,1515387799.38262,1650207473.664087,1611803852.8907263,1116354552.6390316
2024-02-21,1339875629.1036518,1515201019.096703,1651672860.3580704,1613235137.1299915,1115810984.9310458
